step,time_ms
1,0.034
2,0.034
3,0.034
4,0.034
5,0.034
6,0.034
7,0.034
8,0.034
9,0.034
10,0.034
11,0.034
12,0.034
13,0.034
14,0.034
15,0.034
16,0.034
17,0.034
18,0.034
19,0.034
20,0.034
21,0.034
22,0.034
23,0.034
24,0.034
25,0.034
26,0.034
27,0.034
28,0.034
29,0.034
30,0.034
31,0.034
32,0.034
33,0.034
34,0.034
35,0.034
36,0.034
37,0.034
38,0.034
39,0.034
40,0.034
41,0.034
42,0.034
43,0.034
44,0.034
45,0.034
46,0.034
47,0.034
48,0.034
49,0.034
50,0.034
51,0.034
52,0.034
53,0.034
54,0.034
55,0.034
56,0.034
57,0.034
58,0.034
59,0.034
60,0.034
61,0.034
62,0.034
63,0.034
64,0.034
65,0.034
66,0.034
67,0.034
68,0.034
69,0.034
70,0.034
71,0.034
72,0.034
73,0.034
74,0.034
75,0.034
76,0.034
77,0.034
78,0.034
79,0.034
80,0.034
81,0.034
82,0.034
83,0.034
84,0.034
85,0.034
86,0.034
87,0.034
88,0.034
89,0.034
90,0.034
91,0.034
92,0.034
93,0.034
94,0.034
95,0.034
96,0.034
97,0.034
98,0.034
99,0.034
100,0.034
101,0.034
102,0.034
103,0.034
104,0.034
105,0.034
106,0.034
107,0.034
108,0.034
109,0.034
110,0.034
111,0.034
112,0.034
113,0.034
114,0.034
115,0.034
116,0.034
117,0.034
118,0.034
119,0.034
120,0.034
121,0.034
122,0.034
123,0.034
124,0.034
125,0.034
126,0.034
127,0.034
128,0.034
129,0.034
130,0.034
131,0.034
132,0.034
133,0.034
134,0.034
135,0.034
136,0.034
137,0.034
138,0.034
139,0.034
140,0.034
141,0.034
142,0.034
143,0.034
144,0.034
145,0.034
146,0.034
147,0.034
148,0.034
149,0.034
150,0.034
151,0.034
152,0.034
153,0.034
154,0.034
155,0.034
156,0.034
157,0.034
158,0.034
159,0.034
160,0.034
161,0.034
162,0.034
163,0.034
164,0.034
165,0.034
166,0.034
167,0.034
168,0.034
169,0.034
170,0.034
171,0.034
172,0.034
173,0.034
174,0.034
175,0.034
176,0.034
177,0.034
178,0.034
179,0.034
180,0.034
181,0.034
182,0.034
183,0.034
184,0.034
185,0.034
186,0.034
187,0.034
188,0.034
189,0.034
190,0.034
191,0.034
192,0.034
193,0.034
194,0.034
195,0.034
196,0.034
197,0.034
198,0.034
199,0.034
200,0.034
201,0.034
202,0.034
203,0.034
204,0.034
205,0.034
206,0.034
207,0.034
208,0.034
209,0.034
210,0.034
211,0.034
212,0.034
213,0.034
214,0.034
215,0.034
216,0.034
217,0.034
218,0.034
219,0.034
220,0.034
221,0.034
222,0.034
223,0.034
224,0.034
225,0.034
226,0.034
227,0.034
228,0.034
229,0.034
230,0.034
231,0.034
232,0.034
233,0.034
234,0.034
235,0.034
236,0.034
237,0.034
238,0.034
239,0.034
240,0.034
241,0.034
242,0.034
243,0.034
244,0.034
245,0.034
246,0.034
247,0.034
248,0.034
249,0.034
250,0.034
251,0.034
252,0.034
253,0.034
254,0.034
255,0.034
256,0.034
257,0.034
258,0.034
259,0.034
260,0.034
261,0.034
262,0.034
263,0.034
264,0.034
265,0.034
266,0.034
267,0.034
268,0.034
269,0.034
270,0.034
271,0.034
272,0.034
273,0.034
274,0.034
275,0.034
276,0.034
277,0.034
278,0.034
279,0.034
280,0.034
281,0.034
282,0.034
283,0.034
284,0.034
285,0.034
286,0.034
287,0.034
288,0.034
289,0.034
290,0.034
291,0.034
292,0.034
293,0.034
294,0.034
295,0.034
296,0.034
297,0.034
298,0.034
299,0.034
300,0.034
301,0.034
302,0.034
303,0.034
304,0.034
305,0.034
306,0.034
307,0.034
308,0.034
309,0.034
310,0.034
311,0.034
312,0.034
313,0.034
314,0.034
315,0.034
316,0.034
317,0.034
318,0.034
319,0.034
320,0.034
321,0.034
322,0.034
323,0.034
324,0.034
325,0.034
326,0.034
327,0.034
328,0.034
329,0.034
330,0.034
331,0.034
332,0.034
333,0.034
334,0.034
335,0.034
336,0.034
337,0.034
338,0.034
339,0.034
340,0.034
341,0.034
342,0.034
343,0.034
344,0.034
345,0.034
346,0.034
347,0.034
348,0.034
349,0.034
350,0.034
351,0.034
352,0.034
353,0.034
354,0.034
355,0.034
356,0.034
357,0.034
358,0.034
359,0.034
360,0.034
361,0.034
362,0.034
363,0.034
364,0.034
365,0.034
366,0.034
367,0.034
368,0.034
369,0.034
370,0.034
371,0.034
372,0.034
373,0.034
374,0.034
375,0.034
376,0.034
377,0.034
378,0.034
379,0.034
380,0.034
381,0.034
382,0.034
383,0.034
384,0.034
385,0.034
386,0.034
387,0.034
388,0.034
389,0.034
390,0.034
391,0.034
392,0.034
393,0.034
394,0.034
395,0.034
396,0.034
397,0.034
398,0.034
399,0.034
400,0.034
401,0.034
402,0.034
403,0.034
404,0.034
405,0.034
406,0.034
407,0.034
408,0.034
409,0.034
410,0.034
411,0.034
412,0.034
413,0.034
414,0.034
415,0.034
416,0.034
417,0.034
418,0.034
419,0.034
420,0.034
421,0.034
422,0.034
423,0.034
424,0.034
425,0.034
426,0.034
427,0.034
428,0.034
429,0.034
430,0.034
431,0.034
432,0.034
433,0.034
434,0.034
435,0.034
436,0.034
437,0.034
438,0.034
439,0.034
440,0.034
441,0.034
442,0.034
443,0.034
444,0.034
445,0.034
446,0.034
447,0.034
448,0.034
449,0.034
450,0.034
451,0.034
452,0.034
453,0.034
454,0.034
455,0.034
456,0.034
457,0.034
458,0.034
459,0.034
460,0.034
461,0.034
462,0.034
463,0.034
464,0.034
465,0.034
466,0.034
467,0.034
468,0.034
469,0.034
470,0.034
471,0.034
472,0.034
473,0.034
474,0.034
475,0.034
476,0.034
477,0.034
478,0.034
479,0.034
480,0.034
481,0.034
482,0.034
483,0.034
484,0.034
485,0.034
486,0.034
487,0.034
488,0.034
489,0.034
490,0.034
491,0.034
492,0.034
493,0.034
494,0.034
495,0.034
496,0.034
497,0.034
498,0.034
499,0.034
500,0.034
501,0.034
502,0.034
503,0.034
504,0.034
505,0.034
506,0.034
507,0.034
508,0.034
509,0.034
510,0.034
511,0.034
512,0.034
513,0.034
514,0.034
515,0.034
516,0.034
517,0.034
518,0.034
519,0.034
520,0.034
521,0.034
522,0.034
523,0.034
524,0.034
525,0.034
526,0.034
527,0.034
528,0.034
529,0.034
530,0.034
531,0.034
532,0.034
533,0.034
534,0.034
535,0.034
536,0.034
537,0.034
538,0.034
539,0.034
540,0.034
541,0.034
542,0.034
543,0.034
544,0.034
545,0.034
546,0.034
547,0.034
548,0.034
549,0.034
550,0.034
551,0.034
552,0.034
553,0.034
554,0.034
555,0.034
556,0.034
557,0.034
558,0.034
559,0.034
560,0.034
561,0.034
562,0.034
563,0.034
564,0.034
565,0.034
566,0.034
567,0.034
568,0.034
569,0.034
570,0.034
571,0.034
572,0.034
573,0.034
574,0.034
575,0.034
576,0.034
577,0.034
578,0.034
579,0.034
580,0.034
581,0.034
582,0.034
583,0.034
584,0.034
585,0.034
586,0.034
587,0.034
588,0.034
589,0.034
590,0.034
591,0.034
592,0.034
593,0.034
594,0.034
595,0.034
596,0.034
597,0.034
598,0.034
599,0.034
600,0.034
601,0.034
602,0.034
603,0.034
604,0.034
605,0.034
606,0.034
607,0.034
608,0.034
609,0.034
610,0.034
611,0.034
612,0.034
613,0.034
614,0.034
615,0.034
616,0.034
617,0.034
618,0.034
619,0.034
620,0.034
621,0.034
622,0.034
623,0.034
624,0.034
625,0.034
626,0.034
627,0.034
628,0.034
629,0.034
630,0.034
631,0.034
632,0.034
633,0.034
634,0.034
635,0.034
636,0.034
637,0.034
638,0.034
639,0.034
640,0.034
641,0.034
642,0.034
643,0.034
644,0.034
645,0.034
646,0.034
647,0.034
648,0.034
649,0.034
650,0.034
651,0.034
652,0.034
653,0.034
654,0.034
655,0.034
656,0.034
657,0.034
658,0.034
659,0.034
