step,time_ms
1,8.246
2,5.710
3,5.789
4,5.802
5,5.871
6,5.855
7,5.881
8,5.882
9,5.681
10,5.859
11,5.806
12,5.808
13,5.805
14,5.875
15,5.685
16,5.871
17,5.767
18,5.849
19,5.824
20,5.809
21,5.550
22,5.667
23,5.888
24,5.808
25,5.863
26,5.802
27,5.850
28,5.792
29,5.779
30,5.758
31,5.855
32,5.874
33,5.821
34,5.611
35,5.619
36,5.597
37,5.815
38,5.788
39,5.764
40,5.842
41,5.906
42,5.829
43,5.851
44,5.918
45,5.890
46,5.865
47,5.807
48,5.794
49,5.940
50,5.905
51,5.923
52,5.769
53,5.854
54,5.675
55,5.971
56,5.834
57,5.795
58,5.899
59,5.750
60,5.891
61,5.836
62,5.818
63,5.879
64,5.822
65,5.630
66,5.643
67,5.598
68,5.675
69,5.827
70,5.811
71,5.687
72,5.622
73,5.859
74,5.852
75,5.643
76,5.750
77,5.838
78,5.644
79,5.886
80,5.753
81,5.950
82,5.739
83,5.876
84,5.872
85,5.719
86,5.837
87,5.773
88,5.514
89,5.889
90,5.844
91,5.718
92,5.807
93,5.899
94,5.936
95,5.879
96,5.862
97,5.929
98,5.641
99,5.836
100,5.863
101,5.685
102,5.775
103,5.814
104,5.665
105,5.801
106,5.869
107,5.640
108,5.800
109,5.888
110,5.850
111,5.796
112,5.901
113,5.750
114,5.720
115,5.895
116,5.793
117,5.957
118,5.919
119,5.651
120,5.896
121,5.921
122,5.848
123,5.838
124,5.781
125,5.888
126,5.852
127,5.914
128,5.639
129,5.916
130,5.827
131,5.899
132,5.867
133,5.814
134,5.727
135,5.805
136,5.840
137,5.847
138,5.778
139,5.839
140,5.734
141,5.737
142,5.786
143,5.788
144,5.641
145,5.936
146,5.821
147,5.859
148,5.603
149,5.775
150,5.758
151,5.826
152,5.784
153,5.836
154,5.636
155,5.599
156,5.857
157,5.692
158,5.809
159,5.793
160,5.777
161,5.857
162,5.808
163,5.694
164,5.808
165,5.774
166,5.838
167,5.876
168,5.826
169,5.879
170,5.699
171,5.769
172,5.858
173,5.650
174,5.834
175,5.772
176,5.603
177,5.696
178,5.861
179,5.786
180,5.675
181,5.808
182,5.822
183,5.593
184,5.734
185,5.638
186,5.809
187,5.617
188,5.889
189,5.796
190,5.624
191,5.844
192,5.806
193,5.736
194,5.698
195,5.858
196,5.536
197,5.792
198,5.813
199,5.605
200,5.787
201,5.805
202,5.857
203,5.616
204,5.873
205,5.794
206,5.713
207,5.838
208,5.817
209,5.659
210,5.863
211,5.541
212,5.631
213,5.865
214,5.663
215,5.982
216,5.862
217,5.848
218,5.862
219,5.827
220,5.814
221,5.911
222,5.819
223,5.844
224,5.883
225,5.819
226,5.839
227,5.854
228,5.779
229,5.695
230,5.879
231,5.833
232,5.990
233,5.889
234,5.642
235,5.900
236,5.822
237,5.801
238,5.846
239,5.745
240,5.894
241,5.840
242,5.614
243,5.811
244,5.807
245,5.779
246,5.819
247,5.835
248,5.903
249,5.977
250,5.894
251,5.887
252,5.927
253,5.859
254,5.807
255,5.945
256,5.719
257,5.858
258,5.807
259,5.716
260,5.907
261,5.795
262,5.692
263,5.649
264,5.771
265,5.666
266,5.846
267,5.866
268,5.832
269,5.763
270,5.844
271,5.762
272,5.680
273,5.830
274,5.628
275,5.670
276,5.846
277,5.848
278,5.582
279,5.856
280,5.605
281,5.819
282,5.710
283,5.798
284,5.926
285,5.867
286,5.796
287,5.854
288,5.750
289,5.824
290,5.944
291,5.821
292,5.642
293,5.866
294,5.814
295,5.800
296,5.854
297,5.806
298,5.865
299,5.923
300,5.778
301,5.900
302,5.858
303,5.858
304,5.898
305,5.961
306,5.869
307,5.811
308,5.618
309,5.854
310,5.808
311,5.694
312,5.774
313,5.831
314,5.792
315,5.609
316,5.887
317,5.857
318,5.793
319,5.735
320,5.899
321,5.859
322,5.918
323,5.841
324,5.833
325,5.711
326,5.953
327,5.787
328,5.873
329,5.874
330,5.779
331,5.934
332,5.849
333,5.813
334,5.901
335,5.920
336,5.855
337,5.970
338,5.868
339,5.822
340,5.880
341,5.803
342,5.767
343,5.784
344,5.824
345,5.734
346,5.820
347,5.799
348,5.724
349,5.807
350,5.850
351,5.668
352,5.889
353,5.870
354,5.827
355,5.835
356,5.537
357,5.694
358,5.831
359,5.833
360,5.866
361,5.895
362,5.812
363,5.828
364,5.762
365,5.760
366,5.800
367,5.814
368,5.626
369,5.902
370,5.776
371,5.688
372,5.814
373,5.575
374,5.877
375,5.759
376,5.842
377,5.902
378,5.669
379,5.874
380,5.792
381,5.694
382,5.754
383,5.744
384,5.680
385,5.796
386,5.901
387,5.844
388,5.708
389,5.823
390,5.929
391,5.755
392,5.859
393,5.842
394,5.755
395,5.839
396,5.783
397,5.716
398,5.870
399,5.773
400,5.876
401,5.867
402,5.815
403,5.875
404,5.883
405,5.807
406,5.908
407,5.854
408,5.722
409,5.856
410,5.775
411,5.771
412,5.816
413,5.822
414,5.697
415,5.843
416,5.750
417,5.861
418,5.620
419,5.877
420,5.883
421,5.859
422,5.811
423,5.859
424,5.831
425,5.813
426,5.922
427,5.973
428,5.915
429,5.853
430,5.837
431,5.748
432,5.873
433,5.866
434,5.635
435,5.838
436,5.785
437,5.781
438,5.619
439,5.847
440,5.641
441,5.806
442,5.752
443,5.691
444,5.781
445,5.596
446,5.610
447,5.646
448,5.592
449,5.846
450,5.690
451,5.823
452,5.602
453,5.889
454,5.755
455,5.793
456,5.645
457,5.719
458,5.890
