step,time_ms
1,251.635
2,0.155
3,0.124
4,0.105
5,0.110
6,0.134
7,0.110
8,0.100
9,0.100
10,0.101
11,0.104
12,0.103
13,0.100
14,0.110
15,0.107
16,0.102
17,0.099
18,0.102
19,0.101
20,0.096
21,0.096
22,0.101
23,0.095
24,0.095
25,0.095
26,0.108
27,0.105
28,0.094
29,0.095
30,0.094
31,0.094
32,0.097
33,0.096
34,0.098
35,0.097
36,0.097
37,0.096
38,0.096
39,0.096
40,0.096
41,0.106
42,0.094
43,0.095
44,0.094
45,0.095
46,0.094
47,0.095
48,0.094
49,0.095
50,0.095
51,0.099
52,0.097
53,0.096
54,0.097
55,0.099
56,0.106
57,0.100
58,0.108
59,0.095
60,0.098
61,0.096
62,0.098
63,0.099
64,0.094
65,0.102
66,0.097
67,0.094
68,0.094
69,0.094
70,0.095
71,0.094
72,0.094
73,0.100
74,0.098
75,0.096
76,0.094
77,0.099
78,0.101
79,0.104
80,0.094
81,0.094
82,0.094
83,0.095
84,0.094
85,0.094
86,0.096
87,0.099
88,0.095
89,0.097
90,0.102
91,0.094
92,0.095
93,0.094
94,0.099
95,0.094
96,0.094
97,0.094
98,0.096
99,0.094
100,0.096
101,0.097
102,0.097
103,0.095
104,0.100
105,0.100
106,0.099
107,0.111
108,0.102
109,0.099
110,0.095
111,0.094
112,0.094
113,0.094
114,0.094
115,0.094
116,0.094
117,0.095
118,0.094
119,0.098
120,0.095
121,0.094
122,0.096
123,0.095
124,0.095
125,0.107
126,0.102
127,0.102
128,0.094
129,0.094
130,0.101
131,0.094
132,0.094
133,0.094
134,0.099
135,0.100
136,0.094
137,0.094
138,0.094
139,0.094
140,0.094
141,0.095
142,0.094
143,0.094
144,0.125
145,0.121
146,0.097
147,0.095
148,0.106
149,0.094
150,0.094
151,0.094
152,0.106
153,0.096
154,0.106
155,0.094
156,0.094
157,0.094
158,0.096
159,0.094
160,0.093
161,0.095
162,0.097
163,0.094
164,0.102
165,0.094
166,0.098
167,0.094
168,0.094
169,0.102
170,0.095
171,0.103
172,0.094
173,0.094
174,0.094
175,0.094
176,0.094
177,0.097
178,0.099
179,0.094
180,0.107
181,0.094
182,0.095
183,0.098
184,0.097
185,0.093
186,0.094
187,0.097
188,0.098
189,0.095
190,0.096
191,0.094
192,0.094
193,0.094
194,0.094
195,0.097
196,0.100
197,0.094
198,0.098
199,0.095
200,0.097
201,0.098
202,0.093
203,0.094
204,0.102
205,0.095
206,0.095
207,0.094
208,0.093
209,0.094
210,0.101
211,0.094
212,0.093
213,0.094
214,0.093
215,0.094
216,0.106
217,0.094
218,0.095
219,0.094
220,0.094
221,0.098
222,0.094
223,0.094
224,0.094
225,0.094
226,0.099
227,0.094
228,0.094
229,0.100
230,0.096
231,0.095
232,0.094
233,0.094
234,0.094
235,0.094
236,0.094
237,0.094
238,0.094
239,0.094
240,0.103
241,0.096
242,0.094
243,0.094
244,0.094
245,0.094
246,0.094
247,0.094
248,0.094
249,0.093
250,0.094
251,0.094
252,0.095
253,0.094
254,0.098
255,0.095
256,0.095
257,0.094
258,0.094
259,0.094
260,0.094
261,0.094
262,0.106
263,0.094
264,0.094
265,0.107
266,0.100
267,0.094
268,0.094
269,0.097
270,0.093
271,0.102
272,0.099
273,0.093
274,0.094
275,0.096
276,0.102
277,0.094
278,0.095
279,0.106
280,0.094
281,0.094
282,0.096
283,0.094
284,0.094
285,0.094
286,0.094
287,0.094
288,0.098
289,0.098
290,0.101
291,0.107
292,0.096
293,0.097
294,0.099
295,0.093
296,0.094
297,0.098
298,0.097
299,0.095
300,0.094
301,0.094
302,0.099
303,0.094
304,0.094
305,0.095
306,0.106
307,0.095
308,0.094
309,0.096
310,0.100
311,0.097
312,0.097
313,0.094
314,0.100
315,0.094
316,0.101
317,0.115
318,0.101
319,0.099
320,0.111
321,0.112
322,0.102
323,0.100
324,0.099
325,0.098
326,0.106
327,0.099
328,0.098
329,0.098
330,0.100
331,0.095
332,0.096
333,0.100
334,0.096
335,0.093
336,0.094
337,0.094
338,0.094
339,0.094
340,0.097
341,0.094
342,0.099
343,0.093
344,0.093
345,0.094
346,0.094
347,0.094
348,0.102
349,0.094
350,0.107
351,0.094
352,0.094
353,0.094
354,0.095
355,0.094
356,0.094
357,0.095
358,0.094
359,0.094
360,0.094
361,0.094
362,0.094
363,0.093
364,0.095
365,0.103
366,0.102
367,0.101
368,0.094
369,0.094
370,0.094
371,0.099
372,0.094
373,0.099
374,0.096
375,0.095
376,0.094
377,0.094
378,0.100
379,0.102
380,0.095
381,0.094
382,0.093
383,0.107
384,0.096
385,0.096
386,0.099
387,0.100
388,0.099
389,0.094
390,0.114
391,0.094
392,0.094
393,0.093
394,0.096
395,0.093
396,0.105
397,0.097
398,0.095
399,0.094
400,0.094
401,0.094
402,0.094
403,0.094
404,0.094
405,0.094
406,0.098
407,0.104
408,0.098
409,0.102
410,0.095
411,0.094
412,0.094
413,0.093
414,0.094
415,0.094
416,0.094
417,0.094
418,0.095
419,0.094
420,0.094
421,0.093
422,0.095
423,0.094
424,0.094
425,0.094
426,0.093
427,0.094
428,0.094
429,0.097
430,0.098
431,0.094
432,0.094
433,0.094
434,0.095
435,0.094
436,0.094
437,0.094
438,0.096
439,0.099
440,0.094
441,0.094
442,0.106
443,0.094
444,0.095
445,0.094
446,0.095
447,0.094
448,0.094
449,0.094
450,0.095
451,0.105
452,0.095
453,0.096
454,0.094
455,0.094
456,0.094
457,0.094
458,0.095
459,0.095
460,0.094
461,0.095
462,0.094
463,0.094
464,0.094
465,0.095
466,0.094
467,0.094
468,0.094
469,0.094
470,0.095
471,0.095
472,0.101
473,0.095
474,0.094
475,0.094
476,0.095
477,0.094
478,0.094
479,0.094
480,0.094
481,0.097
482,0.109
483,0.095
484,0.094
485,0.099
486,0.094
487,0.094
488,0.095
489,0.094
490,0.094
491,0.094
492,0.094
493,0.099
494,0.094
495,0.094
496,0.094
497,0.094
498,0.094
499,0.094
500,0.094
501,0.094
502,0.096
503,0.094
504,0.104
505,0.093
506,0.097
507,0.094
508,0.094
509,0.094
510,0.094
511,0.093
512,0.094
513,0.094
514,0.093
515,0.094
516,0.094
517,0.095
518,0.098
519,0.094
520,0.094
521,0.094
522,0.094
523,0.094
524,0.094
525,0.100
526,0.095
527,0.097
528,0.094
529,0.094
530,0.102
531,0.093
532,0.094
533,0.094
534,0.094
535,0.106
536,0.094
537,0.094
538,0.094
539,0.094
540,0.094
541,0.094
542,0.095
543,0.094
544,0.094
545,0.094
546,0.095
547,0.094
548,0.100
549,0.094
550,0.095
551,0.094
552,0.094
553,0.094
554,0.095
555,0.093
556,0.094
557,0.094
558,0.094
559,0.094
560,0.094
561,0.094
562,0.094
563,0.094
564,0.106
565,0.098
566,0.097
567,0.101
568,0.094
569,0.094
570,0.093
571,0.094
572,0.095
573,0.096
574,0.096
575,0.099
576,0.094
577,0.094
578,0.095
579,0.094
580,0.095
581,0.098
582,0.101
583,0.094
584,0.094
585,0.093
586,0.094
587,0.094
588,0.100
589,0.096
590,0.109
591,0.095
592,0.104
593,0.094
594,0.093
595,0.095
596,0.106
597,0.094
598,0.093
599,0.094
600,0.094
601,0.098
602,0.097
603,0.094
604,0.094
605,0.106
606,0.094
607,0.094
608,0.094
609,0.094
610,0.095
611,0.094
612,0.098
613,0.100
614,0.095
615,0.094
616,0.094
617,0.094
618,0.093
619,0.094
620,0.102
621,0.101
622,0.102
623,0.093
624,0.102
625,0.094
626,0.095
627,0.094
628,0.094
629,0.097
630,0.094
631,0.095
632,0.107
633,0.096
634,0.094
635,0.095
636,0.094
637,0.101
638,0.097
639,0.094
640,0.094
641,0.107
642,0.097
643,0.094
644,0.095
645,0.099
646,0.098
647,0.094
648,0.095
649,0.094
650,0.097
651,0.094
652,0.094
653,0.095
654,0.094
655,0.094
656,0.102
657,0.094
658,0.097
659,0.094
660,0.094
661,0.094
662,0.094
663,0.098
664,0.094
665,0.095
666,0.094
667,0.094
668,0.093
669,0.094
670,0.094
671,0.094
672,0.094
673,0.094
674,0.095
675,0.094
676,0.093
677,0.094
678,0.094
679,0.094
680,0.094
681,0.100
682,0.100
683,0.095
684,0.094
685,0.094
686,0.100
687,0.094
688,0.094
689,0.094
690,0.094
691,0.093
692,0.097
693,0.094
694,0.094
695,0.100
696,0.094
697,0.095
698,0.095
699,0.097
700,0.095
701,0.096
702,0.096
703,0.094
704,0.095
705,0.102
706,0.095
707,0.094
708,0.094
709,0.094
710,0.095
711,0.094
712,0.094
713,0.094
714,0.094
715,0.094
716,0.094
717,0.095
718,0.094
719,0.101
720,0.094
721,0.093
722,0.100
723,0.094
724,0.094
725,0.094
726,0.094
727,0.098
728,0.100
729,0.094
730,0.094
731,0.095
732,0.094
733,0.093
734,0.097
735,0.094
736,0.097
737,0.098
738,0.096
739,0.093
740,0.093
741,0.093
742,0.094
743,0.093
744,0.095
745,0.094
746,0.094
747,0.094
748,0.093
749,0.094
750,0.096
751,0.095
752,0.100
753,0.094
754,0.094
755,0.094
756,0.094
757,0.094
758,0.095
759,0.094
760,0.094
761,0.095
762,0.093
763,0.094
764,0.093
765,0.095
766,0.094
767,0.094
768,0.094
769,0.093
770,0.095
771,0.094
772,0.094
773,0.096
774,0.098
775,0.094
776,0.096
777,0.093
778,0.094
779,0.093
780,0.093
781,0.096
782,0.095
783,0.094
784,0.094
785,0.093
786,0.094
787,0.096
788,0.093
789,0.094
790,0.101
791,0.102
792,0.094
793,0.094
794,0.095
795,0.099
796,0.094
797,0.104
798,0.098
799,0.095
800,0.094
801,0.094
802,0.095
803,0.094
804,0.094
805,0.094
806,0.094
807,0.094
808,0.094
809,0.094
810,0.094
811,0.094
812,0.093
813,0.094
814,0.094
815,0.094
816,0.094
817,0.095
818,0.095
819,0.096
820,0.097
821,0.094
822,0.094
823,0.099
824,0.097
825,0.102
826,0.098
827,0.097
828,0.098
829,0.097
830,0.098
831,0.096
832,0.102
833,0.113
834,0.095
835,0.101
836,0.094
837,0.094
838,0.094
839,0.096
840,0.093
841,0.094
842,0.101
843,0.096
844,0.106
845,0.095
846,0.094
847,0.094
848,0.093
849,0.094
850,0.094
851,0.094
852,0.093
853,0.094
854,0.095
855,0.094
