step,time_ms
1,2.809
2,0.583
3,0.214
4,0.187
5,0.184
6,0.178
7,0.174
8,0.172
9,0.173
10,0.170
11,0.160
12,0.173
13,0.170
14,0.170
15,0.159
16,0.157
17,0.169
18,0.170
19,0.170
20,0.173
21,0.170
22,0.158
23,0.157
24,0.156
25,0.168
26,0.157
27,0.173
28,0.157
29,0.156
30,0.156
31,0.157
32,0.157
33,0.157
34,0.157
35,0.157
36,0.207
37,0.245
38,0.189
39,0.527
40,0.393
41,0.378
42,0.350
43,0.428
44,0.361
45,0.341
46,0.337
47,0.330
48,0.337
49,0.333
50,0.338
51,0.338
52,0.339
53,0.337
54,0.337
55,0.334
56,0.497
57,0.244
58,0.196
59,0.182
60,0.175
61,0.393
62,0.396
63,0.203
64,0.181
65,0.178
66,0.174
67,0.175
68,0.174
69,0.220
70,1.289
71,0.958
72,0.492
73,0.201
74,0.176
75,0.173
76,0.171
77,0.159
78,0.175
79,0.160
80,0.170
81,0.159
82,0.158
83,0.160
84,0.157
85,0.646
86,0.418
87,0.320
88,0.446
89,0.189
90,0.174
91,0.173
92,0.160
93,0.169
94,0.158
95,0.157
96,0.158
97,0.156
98,1.507
99,0.189
100,0.176
101,0.175
102,0.175
103,0.235
104,0.193
105,0.183
106,0.176
107,0.781
108,0.469
109,0.375
110,0.392
111,0.216
112,0.404
113,0.391
114,0.428
115,0.446
116,0.197
117,0.404
118,0.377
119,0.779
120,0.372
121,0.408
122,0.192
123,0.376
124,0.407
125,0.398
126,0.362
127,0.337
128,0.341
129,0.336
130,0.353
131,0.340
132,0.922
133,0.245
134,0.253
135,0.176
136,0.524
137,0.389
138,0.362
139,0.371
140,0.568
141,0.361
142,0.365
143,0.351
144,0.353
145,0.329
146,0.355
147,0.342
148,0.333
149,0.329
150,0.333
151,0.332
152,0.333
153,0.329
154,0.336
155,0.333
156,0.566
157,0.204
158,0.338
159,0.419
160,0.356
161,0.342
162,0.352
163,4.226
164,0.181
165,0.173
166,0.171
167,0.170
168,0.160
169,0.157
170,0.157
171,0.159
172,0.157
173,0.156
174,0.157
175,0.157
176,0.157
177,0.156
178,0.157
179,0.156
180,0.156
181,0.156
182,0.156
183,0.158
184,0.157
185,0.157
186,0.157
187,0.158
188,0.156
189,0.156
190,0.156
191,0.157
192,0.156
193,0.156
194,0.156
195,0.156
196,0.156
197,0.156
198,0.156
199,0.156
200,0.156
201,0.156
202,0.157
203,0.156
204,0.155
205,0.156
206,0.156
207,0.156
208,0.156
209,0.155
210,0.156
211,0.155
212,0.156
213,0.156
214,0.156
215,0.156
216,0.156
217,0.157
218,0.157
219,0.512
220,0.373
221,1.147
222,0.197
223,0.177
224,0.175
225,0.172
226,0.172
227,0.171
228,0.172
229,0.171
230,0.171
231,0.173
232,0.172
233,0.172
234,0.171
235,0.561
236,0.375
237,0.346
238,0.340
239,0.340
240,0.427
241,0.280
242,0.246
243,0.337
244,0.177
245,0.160
246,0.736
247,0.419
248,0.437
249,0.260
250,0.599
251,0.248
252,0.294
253,0.494
254,0.186
255,0.178
256,0.175
257,0.176
258,0.174
259,0.174
260,0.290
261,0.189
262,0.175
263,0.174
264,0.161
265,0.158
266,0.158
267,0.159
268,0.157
269,0.157
270,0.157
271,0.168
272,0.159
273,0.158
274,0.157
275,0.170
276,0.158
277,0.157
278,0.157
279,0.157
280,0.156
281,0.159
282,0.157
283,0.156
284,0.160
285,0.375
286,1.514
287,0.408
288,0.368
289,0.203
290,0.184
291,0.180
292,0.176
293,0.175
294,0.172
295,0.225
296,0.195
297,0.455
298,0.183
299,0.175
300,0.161
301,0.172
302,0.160
303,0.183
304,0.160
305,0.159
306,0.171
307,0.159
308,0.170
309,0.235
310,0.509
311,0.463
312,0.364
313,0.520
314,0.478
315,0.342
316,0.355
317,0.477
318,0.424
319,0.368
320,0.337
321,0.344
322,0.345
323,0.335
324,0.490
325,0.399
326,0.354
327,0.336
328,2.069
329,0.203
330,0.178
331,0.174
332,0.161
333,0.157
334,0.173
335,0.796
336,0.784
337,0.212
338,0.185
339,0.177
340,0.651
341,0.399
342,0.373
343,0.404
344,0.405
345,0.426
346,0.368
347,0.342
348,0.352
349,1.335
350,0.417
351,0.351
352,1.480
353,0.218
354,0.186
355,0.177
356,0.174
357,0.366
358,0.552
359,0.395
360,0.382
361,0.465
362,0.382
363,0.360
364,0.360
365,0.356
366,0.347
367,0.351
368,0.339
369,0.340
370,0.428
371,0.382
372,0.411
373,0.341
374,0.397
375,0.458
376,0.374
377,0.516
378,0.496
379,0.370
380,0.413
381,0.341
382,0.426
383,0.356
384,1.766
385,0.594
386,0.401
387,0.393
388,0.370
389,0.436
390,0.638
391,0.339
392,0.457
393,0.401
394,0.354
395,0.415
396,0.348
397,0.548
398,0.349
399,0.411
400,1.097
401,0.356
402,0.335
403,0.346
