step,time_ms
1,7.012
2,6.786
3,6.643
4,6.766
5,6.509
6,6.701
7,6.752
8,6.627
9,6.472
10,6.700
11,6.742
12,6.594
13,6.720
14,6.525
15,6.664
16,6.701
17,6.625
18,7.015
19,6.726
20,6.602
21,6.607
22,6.559
23,6.577
24,6.688
25,6.720
26,6.664
27,6.663
28,6.540
29,6.410
30,6.543
31,6.846
32,6.641
33,6.832
34,6.726
35,6.490
36,6.641
37,6.717
38,6.548
39,6.655
40,6.837
41,6.610
42,6.682
43,6.802
44,6.815
45,6.953
46,6.858
47,6.735
48,6.641
49,6.734
50,6.571
51,6.715
52,6.669
53,6.471
54,6.610
55,6.761
56,6.878
57,6.652
58,6.576
59,6.506
60,6.867
61,6.710
62,6.497
63,6.603
64,6.848
65,6.757
66,6.917
67,6.686
68,6.556
69,6.639
70,6.740
71,6.763
72,6.704
73,6.419
74,6.748
75,6.844
76,6.624
77,6.835
78,6.549
79,6.559
80,6.937
81,6.642
82,6.832
83,6.638
84,6.516
85,6.699
86,6.456
87,6.468
88,6.802
89,6.782
90,6.545
91,6.773
92,6.702
93,6.486
94,6.541
95,6.718
96,6.617
97,6.909
98,6.782
99,6.698
100,6.584
101,6.560
102,6.737
103,6.585
104,6.859
105,6.564
106,6.607
107,6.660
108,6.538
109,6.867
110,6.646
111,6.490
112,6.728
113,6.596
114,6.712
115,6.636
116,6.556
117,6.575
118,6.765
119,6.853
120,6.639
121,6.624
122,6.499
123,6.439
124,6.989
125,6.709
126,6.626
127,6.790
128,6.558
129,6.596
130,6.690
131,6.761
132,6.672
133,6.633
134,6.580
135,6.625
136,6.602
137,6.530
138,6.488
139,6.845
140,6.543
141,6.894
142,6.759
143,6.442
144,6.605
145,6.742
146,6.564
147,6.782
148,6.632
149,6.722
150,6.552
151,6.609
152,6.493
153,6.716
154,6.760
155,6.560
156,6.719
157,6.689
158,6.468
159,6.645
160,6.688
161,6.679
162,6.821
163,6.681
164,6.471
165,6.781
166,6.577
167,6.405
168,6.701
169,6.732
170,6.540
171,6.782
172,6.689
173,6.505
174,6.527
175,6.530
176,6.477
177,6.567
178,6.639
179,6.688
180,6.770
181,6.752
182,6.600
183,6.586
184,6.657
185,6.638
186,6.760
187,6.707
188,7.186
189,6.833
190,7.003
191,6.768
192,6.702
193,6.759
194,6.682
195,6.778
196,6.589
197,6.583
198,6.628
199,6.921
200,6.692
201,6.717
202,6.663
203,6.582
204,6.650
205,6.527
206,6.624
207,6.868
208,6.734
209,6.459
210,6.619
211,6.564
212,6.448
213,6.842
214,6.710
215,6.501
216,6.951
217,6.567
218,6.703
219,6.531
220,6.665
221,6.588
222,6.822
223,6.687
224,6.558
225,6.590
226,6.444
227,6.392
228,6.770
229,6.895
230,6.444
231,6.778
232,6.789
233,6.631
234,6.717
235,6.664
236,6.747
237,6.856
238,6.431
239,6.555
240,6.769
241,6.607
242,6.736
243,6.553
244,6.617
245,6.684
246,6.764
247,6.648
248,6.740
249,6.757
250,6.530
251,6.679
252,6.667
253,6.458
254,6.505
255,6.767
256,6.668
257,6.729
258,6.642
259,6.482
260,6.679
261,6.708
262,6.673
263,6.580
264,6.627
265,6.702
266,7.140
267,6.980
268,6.634
269,6.636
270,6.744
271,6.715
272,6.823
273,6.547
274,6.786
275,6.684
276,6.696
277,6.567
278,6.465
279,6.785
280,6.760
281,6.815
282,6.684
283,6.620
284,6.431
285,6.709
286,6.661
287,6.679
288,6.863
289,6.675
290,6.807
291,6.658
292,6.552
293,6.433
294,6.564
295,6.850
296,6.618
297,6.740
298,6.676
299,6.479
300,6.576
301,6.614
302,6.522
303,6.682
304,6.629
305,6.628
306,6.636
307,6.468
308,6.769
309,6.468
310,6.406
311,6.825
312,6.601
313,6.533
314,6.741
315,6.761
316,6.605
317,6.656
318,6.592
319,6.438
320,6.792
321,6.734
322,6.673
323,6.714
324,6.606
325,6.609
326,6.554
327,6.608
328,6.701
329,6.909
330,6.697
331,6.714
332,6.781
333,6.637
334,6.623
335,6.654
336,6.713
337,6.688
338,6.634
339,6.674
340,6.718
341,6.593
342,6.675
343,6.641
344,6.484
345,6.546
346,6.574
347,6.627
348,6.711
349,6.674
350,6.667
351,6.654
352,6.414
353,6.884
354,6.797
355,6.714
356,6.662
357,6.602
358,6.605
359,6.639
360,6.782
361,6.875
362,6.779
363,6.559
364,6.748
365,6.562
366,6.723
367,6.696
368,6.564
369,6.627
370,6.689
371,6.579
372,6.654
373,6.539
374,6.734
375,6.798
376,6.767
377,6.799
378,6.731
379,6.400
380,6.477
381,6.589
382,6.649
383,6.721
384,6.711
385,6.527
386,6.771
387,6.526
388,6.779
389,6.682
390,6.562
391,6.521
392,6.676
393,6.625
394,6.801
395,6.729
396,6.810
397,6.642
398,6.542
399,6.540
400,6.709
401,6.551
402,6.831
403,6.641
404,6.547
405,6.793
406,6.634
407,6.404
408,6.770
409,6.711
410,6.616
411,6.624
412,6.593
413,6.409
414,6.716
415,6.778
416,6.573
417,6.630
418,6.664
419,6.662
420,6.634
421,6.659
422,6.766
423,6.542
424,6.797
425,7.080
426,6.780
427,6.829
428,6.812
429,6.654
430,6.674
431,6.713
432,6.592
433,6.734
434,6.643
435,6.927
436,6.668
437,6.586
438,6.822
439,6.459
440,6.599
441,6.498
442,6.748
443,6.732
444,6.401
445,6.675
446,6.668
447,6.564
448,6.674
449,6.726
450,6.648
451,6.509
452,6.425
453,6.762
454,6.600
455,6.561
456,6.662
457,6.413
458,6.797
459,6.590
460,6.511
461,6.632
462,6.555
463,6.719
464,6.679
465,6.569
466,6.695
467,6.672
468,6.422
469,6.466
470,6.632
471,6.626
472,6.754
473,6.661
474,6.519
475,6.760
476,6.568
477,6.671
478,6.650
479,6.667
480,6.498
481,6.660
482,6.693
483,6.407
484,6.509
485,6.876
486,6.658
487,6.654
488,6.407
489,6.686
490,6.714
491,6.641
492,6.400
493,6.695
494,6.626
495,6.708
496,6.801
497,6.600
498,6.585
499,6.513
500,6.563
501,6.772
502,6.713
503,6.641
504,6.513
505,6.638
506,6.644
507,6.676
508,6.698
509,6.580
510,6.557
511,6.513
512,6.571
513,6.759
514,6.912
515,6.695
516,6.683
517,6.536
518,6.627
519,6.593
520,6.779
521,6.924
522,6.568
523,6.656
524,6.718
525,6.727
526,6.731
527,6.659
528,6.558
529,6.495
530,6.592
531,6.804
532,6.698
533,6.587
534,6.610
535,6.515
536,6.589
537,6.819
538,6.813
539,6.810
540,6.710
541,6.660
542,6.432
543,6.817
544,6.678
545,6.573
546,6.934
547,6.651
548,6.577
549,6.632
550,6.849
551,6.641
552,6.702
553,6.659
554,6.530
555,6.599
556,6.654
557,6.684
558,6.769
559,6.559
560,6.628
561,6.639
562,6.724
563,6.771
564,6.560
565,6.584
566,6.735
567,6.606
568,6.519
569,6.799
570,6.958
571,6.741
572,6.524
573,6.628
574,6.605
575,6.527
576,6.449
577,6.964
578,6.694
579,6.533
580,6.683
581,6.642
582,6.431
583,6.821
584,6.668
585,6.539
586,6.759
587,6.443
588,6.579
589,6.718
590,6.615
591,6.585
592,6.684
593,6.680
594,6.575
595,6.665
596,6.657
597,6.401
598,6.745
599,6.609
600,6.613
601,6.477
602,6.848
603,6.733
604,6.525
605,6.747
606,6.635
607,6.396
608,6.820
609,6.808
610,6.615
611,6.608
612,6.379
613,6.724
614,6.578
615,6.595
616,6.675
617,6.435
618,6.649
619,6.572
620,6.783
621,6.856
622,6.690
623,6.454
624,6.864
625,6.607
626,6.429
627,6.699
628,6.777
629,6.541
630,6.657
631,6.575
632,6.706
633,6.639
634,6.535
635,6.651
636,6.720
637,6.645
638,6.681
639,6.689
640,7.010
641,6.845
642,6.444
643,6.799
