step,time_ms
1,0.532
2,0.380
3,0.343
4,0.344
5,0.335
6,0.328
7,0.345
8,0.320
9,0.341
10,0.323
11,0.342
12,0.332
13,0.319
14,0.319
15,0.327
16,0.323
17,0.324
18,0.322
19,0.336
20,0.332
21,0.332
22,0.348
23,0.353
24,0.407
25,0.398
26,0.376
27,0.349
28,0.337
29,0.329
30,0.330
31,0.358
32,0.331
33,0.329
34,0.359
35,0.329
36,0.329
37,0.320
38,0.318
39,0.313
40,0.304
41,0.327
42,0.312
43,0.314
44,0.311
45,0.318
46,0.316
47,0.313
48,0.314
49,0.319
50,0.313
51,0.311
52,0.317
53,0.312
54,0.325
55,0.361
56,0.351
57,0.335
58,0.338
59,0.624
60,0.544
61,0.369
62,0.342
63,0.489
64,0.380
65,0.344
66,0.313
67,0.360
68,0.369
69,0.436
70,0.439
71,0.407
72,0.366
73,0.340
74,0.328
75,0.349
76,0.321
77,0.331
78,0.338
79,0.335
80,0.333
81,0.473
82,0.394
83,0.370
84,0.358
85,0.343
86,0.331
87,0.322
88,0.327
89,0.325
90,0.343
91,0.355
92,0.364
93,0.335
94,0.315
95,0.318
96,0.312
97,0.314
98,0.315
99,0.312
100,0.314
101,0.314
102,0.316
103,0.312
104,0.319
105,0.328
106,0.305
107,0.304
108,0.311
109,0.318
110,0.309
111,0.303
112,0.306
113,0.309
114,0.317
115,0.317
116,0.330
117,0.322
118,0.312
119,0.301
120,0.321
121,0.303
122,0.305
123,0.314
124,0.303
125,0.300
126,0.305
127,0.323
128,0.314
129,0.304
130,0.311
131,0.301
132,0.319
133,0.301
134,0.307
135,0.307
136,0.304
137,0.323
138,0.313
139,0.306
140,0.300
141,0.319
142,0.324
143,0.326
144,0.317
145,0.320
146,0.326
147,0.310
148,0.332
149,0.324
150,0.319
151,0.318
152,0.314
153,0.312
154,0.311
155,0.324
156,0.308
157,0.302
158,0.314
159,0.300
160,0.306
161,0.299
162,0.314
163,0.299
164,0.305
165,0.300
166,0.302
167,0.299
168,0.301
169,0.316
170,0.314
171,0.301
172,0.305
173,0.323
174,0.310
175,0.304
176,0.317
177,0.302
178,0.314
179,0.299
180,0.301
181,0.311
182,0.310
183,0.303
184,0.300
185,0.337
186,0.300
187,0.320
188,0.299
189,0.313
190,0.303
191,0.309
192,0.308
193,0.315
194,0.315
195,0.300
196,0.313
197,0.307
198,0.337
199,0.314
200,0.332
201,0.303
202,0.300
203,0.303
204,0.299
205,0.302
206,0.300
207,0.302
208,0.299
209,0.318
210,0.398
211,0.342
212,0.361
213,0.330
214,0.319
215,0.314
216,0.302
217,0.314
218,0.311
219,0.311
220,0.313
221,0.311
222,0.317
223,0.307
224,0.301
225,0.303
226,0.315
227,0.307
228,0.320
229,0.330
230,0.341
231,0.314
232,0.323
233,0.326
234,0.416
235,0.330
236,0.314
237,0.331
238,0.322
239,0.309
240,0.331
241,0.322
242,0.323
243,0.318
244,0.320
245,0.334
246,0.335
247,0.335
248,0.319
249,0.328
250,0.332
251,0.312
252,0.325
253,0.312
254,0.304
255,0.303
256,0.304
257,0.303
258,0.323
259,0.305
260,0.308
261,0.310
262,0.312
263,0.309
264,0.405
265,0.326
266,0.323
267,0.341
268,0.462
269,0.356
270,0.332
271,0.327
272,0.312
273,0.314
274,0.337
275,0.326
276,0.320
277,0.349
278,0.335
279,0.329
280,0.311
281,0.321
282,0.317
283,0.323
284,0.333
285,0.327
286,0.339
287,0.332
288,0.320
289,0.423
290,0.338
291,0.324
292,0.315
293,0.323
294,0.345
295,0.326
296,0.311
297,0.301
298,0.312
299,0.308
300,0.320
301,0.337
302,0.344
303,0.319
304,0.305
305,0.319
306,0.315
307,0.307
308,0.335
309,0.323
310,0.327
311,0.314
312,0.305
313,0.305
314,0.349
315,0.308
316,0.314
317,0.337
318,0.304
319,0.305
320,0.305
321,0.306
322,0.314
323,0.327
324,0.310
325,0.305
326,0.324
327,0.313
328,0.307
329,0.312
330,0.314
331,0.311
332,0.310
333,0.312
334,0.307
335,0.302
336,0.315
